   -3.1898104045E+01   -3.1896868475E+01   -3.1893163396E+01   -3.1886993702E+01
   -3.1878367367E+01   -3.1867295245E+01   -3.1853790867E+01   -3.1837870232E+01
   -3.1819551592E+01   -3.1798855237E+01   -3.1775803273E+01   -3.1750419414E+01
   -3.1722728770E+01   -3.1692757648E+01   -3.1660533370E+01   -3.1626084103E+01
   -3.1589438702E+01   -3.1550626571E+01   -3.1509677550E+01   -3.1466621799E+01
   -3.1421489711E+01   -3.1374311828E+01   -3.1325118765E+01   -3.1273941147E+01
   -3.1220809545E+01   -3.1165754420E+01   -3.1108806067E+01   -3.1049994572E+01
   -3.0989349765E+01   -3.0926901185E+01   -3.0862678055E+01   -3.0796709262E+01
   -3.0729023353E+01   -3.0659648535E+01   -3.0588612701E+01   -3.0515943447E+01
   -3.0441668117E+01   -3.0365813842E+01   -3.0288407592E+01   -3.0209476226E+01
   -3.0129046544E+01   -3.0047145332E+01   -2.9963799409E+01   -2.9879035657E+01
   -2.9792881051E+01   -2.9705362680E+01   -2.9616507759E+01   -2.9526343642E+01
   -2.9434897834E+01   -2.9342198008E+01   -2.9248272034E+01   -2.9153148030E+01
   -2.9056854432E+01   -2.8959420109E+01   -2.8860874509E+01   -2.8761247857E+01
   -2.8660571403E+01   -2.8558877718E+01   -2.8456201045E+01   -2.8352577691E+01
   -2.8248046452E+01   -2.8142649051E+01   -2.8036430585E+01   -2.7929439937E+01
   -2.7821730141E+01   -2.7713358681E+01   -2.7604387676E+01   -2.7494883956E+01
   -2.7384918988E+01   -2.7274568664E+01   -2.7163912920E+01   -2.7053035225E+01
   -2.6942021914E+01   -2.6830961411E+01   -2.6719943362E+01   -2.6609057694E+01
   -2.6498393644E+01   -2.6388038779E+01   -2.6278078043E+01   -2.6168592846E+01
   -2.6059660222E+01   -2.5951352065E+01   -2.5843734457E+01   -2.5736867085E+01
   -2.5630802755E+01   -2.5525586993E+01   -2.5421257730E+01   -2.5317845065E+01
   -2.5215371094E+01   -2.5113849811E+01   -2.5013287050E+01   -2.4913680504E+01
   -2.4815019774E+01   -2.4717286482E+01   -2.4620454429E+01   -2.4524489812E+01
   -2.4429351484E+01   -2.4334991271E+01   -2.4241354334E+01   -2.4148379579E+01
   -2.4056000089E+01   -2.3964143582E+01   -2.3872732869E+01   -2.3781686279E+01
   -2.3690918049E+01   -2.3600338634E+01   -2.3509854931E+01   -2.3419370390E+01
   -2.3328785020E+01   -2.3237995300E+01   -2.3146894037E+01   -2.3055370227E+01
   -2.2963309013E+01   -2.2870591860E+01   -2.2777097073E+01   -2.2682700802E+01
   -2.2587278676E+01   -2.2490708156E+01   -2.2392871661E+01   -2.2293660455E+01
   -2.2192979165E+01   -2.2090750742E+01   -2.1986921615E+01   -2.1881466673E+01
   -2.1774394255E+01   -2.1665747543E+01   -2.1555613138E+01   -2.1444122184E+01
   -2.1331441335E+01   -2.1217712523E+01   -2.1102995372E+01   -2.0987324794E+01
   -2.0870731294E+01   -2.0753254088E+01   -2.0634935441E+01   -2.0515819555E+01
   -2.0395954444E+01   -2.0275392018E+01   -2.0154188581E+01   -2.0032405316E+01
   -1.9910108764E+01   -1.9787371261E+01   -1.9664271299E+01   -1.9540893794E+01
   -1.9417330231E+01   -1.9293678673E+01   -1.9170043604E+01   -1.9046535588E+01
   -1.8923270735E+01   -1.8800369934E+01   -1.8677957846E+01   -1.8556161630E+01
   -1.8435109377E+01   -1.8314928231E+01   -1.8195742142E+01   -1.8077669189E+01
   -1.7960818771E+01   -1.7845287713E+01   -1.7731157447E+01   -1.7618489015E+01
   -1.7507310806E+01   -1.7397621069E+01   -1.7289395221E+01   -1.7182596043E+01
   -1.7077194825E+01   -1.6973166417E+01   -1.6870478931E+01   -1.6769096397E+01
   -1.6668973629E+01   -1.6570065775E+01   -1.6472344315E+01   -1.6375789321E+01
   -1.6280382780E+01   -1.6186107657E+01   -1.6092941829E+01   -1.6000860995E+01
   -1.5909844722E+01   -1.5819874808E+01   -1.5730932483E+01   -1.5642998781E+01
   -1.5556055419E+01   -1.5470084741E+01   -1.5385069489E+01   -1.5300992796E+01
   -1.5217838222E+01   -1.5135589756E+01   -1.5054231644E+01   -1.4973748258E+01
   -1.4894124181E+01   -1.4815343999E+01   -1.4737392604E+01   -1.4660255655E+01
   -1.4583919587E+01   -1.4508371365E+01   -1.4433598401E+01   -1.4359588440E+01
   -1.4286329153E+01   -1.4213808498E+01   -1.4142014807E+01   -1.4070936944E+01
   -1.4000564438E+01   -1.3930887568E+01   -1.3861897135E+01   -1.3793585567E+01
